iter	Passed	Remaining
0	194	19220
1	211	10345
2	212	6868
3	215	5160
4	229	4360
5	240	3774
6	252	3354
7	253	2915
8	255	2582
9	258	2329
10	259	2100
11	271	1991
12	273	1830
13	277	1701
14	277	1572
15	278	1462
16	279	1366
17	291	1326
18	292	1245
19	292	1171
20	304	1144
21	315	1119
22	327	1095
23	338	1072
24	350	1051
25	363	1033
26	376	1018
27	377	971
28	391	958
29	392	915
30	405	901
31	417	886
32	429	871
33	430	836
34	434	807
35	446	793
36	458	780
37	459	750
38	471	737
39	483	725
40	495	713
41	496	685
42	508	673
43	520	662
44	532	650
45	544	638
46	556	627
47	568	616
48	580	604
49	592	592
50	604	580
51	604	558
52	605	536
53	617	525
54	629	514
55	641	503
56	653	492
57	664	481
